unique_post_id,final_stress,clinical_class,model_role,official_eval,oof_fold,group_id,label_source,label_confidence_tier,annotation_weight,class_weight,training_sample_weight,content
246749152,1.0,Low,train,False,0,G02552,original_dual,high,1.0,0.684177788873456,0.8553459671640382,قد و وزنشو بگو و چندسالشع؟
246750589,5.111111111111111,High,train,False,0,G02552,original_dual,high,1.0,1.198107656482396,1.4978512440282072,4سالگیش 13/5بوده...الآن که 6سالشه 14/5...تقریبا میشه گفت استپ وزنی کرده...مچ دستش لاااااغر...آزمایش خونم داد با تیروئید مشکلی نداشت...البته فردا میخوام تازه آزمایشش رو ببرم پیش دکتر...میخوام بگم هورمون رشدشم چک کنه...از مچ دستشم عکس بگیرم....دلم کبااااب واسه بچم...لباسای سه سالگیش هنوزم تنش میرن😢😔😔😔😔
246952723,2.0,Low,train,False,0,G02180,original_dual,high,1.0,0.684177788873456,0.8553459671640382,راستش من تو آزمایش روتین یکم کم خونی نداشتم بعد این فروس سولفات هم بهداشت داده نمی‌دونم چکار کنم راستش دیروز بخاطر سر گیجه رفتم پیش دکترم برام قرص مولتی ویتامین خارجی تجویز کرد
249384092,2.6296296296296293,Low,train,False,0,G00002,active_dual,high,1.0,0.684177788873456,0.8553459671640382,"من بتام 39999 بود هفت هفته بودم
گفت چن قلو هست یا مول
هیچکدوم نبود یه دخترگل بود.
اولش ترسیدم با این بتا گفتم حتمن خارج رحمی هست ولی اومدم اینجا دیدم تا 70000 هم بوده و یکی بوده بچه خیالم راحت شد"
251560308,1.871310434327066,Low,train,False,0,G00004,active_p2_calibrated,medium,0.65,0.684177788873456,0.5559748786566249,خوب ک نمیشه هیچ،کمر دردم داری😐جای بخیه هم تا اخر عمر بی حسه
253412625,4.979569828854984,Moderate,train,False,0,G00008,active_p2_calibrated,medium,0.65,1.0556758388791745,0.8578607139351856,"اخه فقط یکیشه اونم از دیشب یه دفعه شروع شد
یعنی طبیعیه؟
درد وسط پا هم دارم و درد دنبالیچه چند روز پیش رفتم دکتر گف باید تحمل کنی خیلی در عذابم"
254686209,6.0,High,train,False,0,G02223,original_p1_high_selected,medium_high,0.9,1.198107656482396,1.3480661196253865,منم جواب ان تی رو خودم تفسیر کردم داشتم دق میکردم بعد جواب آزمایشم آنلاین اومد راحت شدم ،دکترمم یه هفته بعد وقت داشت تا اون موقع میمردم، یه روز کامل گریه کردم ، دکتر گف جوابت خوبه نگرانی نداشت
254933030,3.0,Moderate,train,False,0,G02224,original_p1_high_selected,medium_high,0.9,1.0556758388791745,1.1878071423717955,"اخه چه کاری از دست پدر برمیاد عزیزم؟
اینو چندبار برای خانوادم توضیح دادم گفتن اگه ما به شوهرت بگیم خونه رو عوض کن یجور دخالت هست و شاید در حد اون خونه پولش میرسه ولی احتیاط کن!"
255241351,5.0,High,train,False,0,G02556,original_dual,high,1.0,1.198107656482396,1.4978512440282072,من درد شدید دنبالچه هم اضافه بود 😭
256281249,1.0,Low,train,False,0,G00015,original_dual,high,1.0,0.684177788873456,0.8553459671640382,آهان درسته. منم فکرشو می‌کردم
257900941,1.871310434327066,Low,train,False,0,G00015,active_p2_calibrated,medium,0.65,0.684177788873456,0.5559748786566249,دکتر نگفت مشکلی برای بچه پیش میاد با این وضعیت؟ یعنی مثلا وزن بچه کم بشه یا ضعیف بشه خدای نکرده
257972125,4.979569828854984,Moderate,train,False,0,G00017,active_p2_calibrated,medium,0.65,1.0556758388791745,0.8578607139351856,خیلی نگرانم 😭 ۲۷بود طول سرویکس الان ۳۰
258001969,1.0,Low,train,False,0,G00018,active_dual,high,1.0,0.684177788873456,0.8553459671640382,نه درد که ندارم ترشحات غیر عادیم نه
258003322,3.6296296296296298,Moderate,train,False,0,G00018,active_dual,high,1.0,1.0556758388791745,1.3197857137464393,دوست عزیز لطفاً این قضیه رو جدی بگیر و حتما دکتر برو.منم هفته ۳۵ دو روز لکه بینی داشتم و دچار زایمان زودرس شدم.با اینکه خیلی به ترشحات و علایم زایمان توجه کردم و سریع خودم رو رسوندم بیمارستان بچم مرده به دنیا اومد اما با خواست خدا با CPR برگشت.نمیخوام بترسونمت ولی یه nst برو بده فوری
