content_hash,group_size,unique_post_id,label_source,label_round,final_stress,clinical_class,content
25382b54340b69479449c2a78d0d4d731f8dcd51cc116e987e7d8b2ab8ecab3f,2,thread_16434027_starter,active_p2_calibrated,active_learning_round,7.310764374750923,Very High,"مامان
تو‌که نمیای به دیدنم داری جامو با بچه هات پر میکنی
تو چند تا بچه داری ولی من یدونه مامان دارم که تاحالا ندیدمش
اگه بمیرم میای سر خاکم؟
اون‌ موقع میای به دیدنم؟
همون‌ موقع که اومدی جوری صدام بزنی بفهمم مامانم اومده آخه من که تاحالا ندیدمت نمیشناسمت
میدونم حالت خوبه زندگی خودتو داری نظم خودتو داری
ولی اون موقع دیگه دردسر نیستم که برات بیای سر بزنی بری باشه؟
نمیدونم شایدم منو بادت نمیاد ۲۴ سالم داره میشه و احتمالا یادت نیاد
ولی حداقل اعلامیه ترحیممو که دیدی یادم میوفتی
فامیلای مشترک زیادن بهت خبر میدن
من منتظرت میمونما..
مامان دخترت دیگه نمیتونه
نمیتونم ببینم خواهر معلولمو بذارن بهزیستی
نمیتونم ببینم مامانجون داره میره
ما دیگه کسیو نداریم
میخوام برم بغل خدا
دیگه مامانجونو جواب کردن حتی بمیرمم نمیتونه بیاد سر مزارم
تو بیای منو بی مادر نذاری
نمیدونم از خدا چی بخوام
چجوری بخوام"
25382b54340b69479449c2a78d0d4d731f8dcd51cc116e987e7d8b2ab8ecab3f,2,thread_16434483_starter,active_p2_calibrated,active_learning_round,7.310764374750923,Very High,"مامان
تو‌که نمیای به دیدنم داری جامو با بچه هات پر میکنی
تو چند تا بچه داری ولی من یدونه مامان دارم که تاحالا ندیدمش
اگه بمیرم میای سر خاکم؟
اون‌ موقع میای به دیدنم؟
همون‌ موقع که اومدی جوری صدام بزنی بفهمم مامانم اومده آخه من که تاحالا ندیدمت نمیشناسمت
میدونم حالت خوبه زندگی خودتو داری نظم خودتو داری
ولی اون موقع دیگه دردسر نیستم که برات بیای سر بزنی بری باشه؟
نمیدونم شایدم منو بادت نمیاد ۲۴ سالم داره میشه و احتمالا یادت نیاد
ولی حداقل اعلامیه ترحیممو که دیدی یادم میوفتی
فامیلای مشترک زیادن بهت خبر میدن
من منتظرت میمونما..
مامان دخترت دیگه نمیتونه
نمیتونم ببینم خواهر معلولمو بذارن بهزیستی
نمیتونم ببینم مامانجون داره میره
ما دیگه کسیو نداریم
میخوام برم بغل خدا
دیگه مامانجونو جواب کردن حتی بمیرمم نمیتونه بیاد سر مزارم
تو بیای منو بی مادر نذاری
نمیدونم از خدا چی بخوام
چجوری بخوام"
313d4cc7a3cce4fd5de79ab3db7c687ff77ec0395babb83028729bed901ca5c9,2,413961861,active_p2_calibrated,active_learning_round,4.9795698288549834,Moderate,اخه شب قبل ما دعوامون شده بود چون رفته بود خونه مادرش و ب من گفت بیرونم منم گفتم تو دروغ گفتی من ماشینت اونجا دیدمگفت نگفتم بهت اونجام چون تو ناراحت میشدی چون هر وقت میرم اونجا هی زنگ میزنی سیم جیمم میکنی و میگی چرا تنها رفتی اونجامنم بهش گفتم از بس24 ساعت اونجایی گفت یعنی نرم مادرم ببینم گفتم خب باهم میریمبعد دعوامون شد گفتم هر وقت یاد گرفتی اول زنت بعد خانواده بعد حرف بزن
313d4cc7a3cce4fd5de79ab3db7c687ff77ec0395babb83028729bed901ca5c9,2,413961491,original_dual,original_round,4.7407407407407405,Moderate,اخه شب قبل ما دعوامون شده بود چون رفته بود خونه مادرش و ب من گفت بیرونم منم گفتم تو دروغ گفتی من ماشینت اونجا دیدمگفت نگفتم بهت اونجام چون تو ناراحت میشدی چون هر وقت میرم اونجا هی زنگ میزنی سیم جیمم میکنی و میگی چرا تنها رفتی اونجامنم بهش گفتم از بس24 ساعت اونجایی گفت یعنی نرم مادرم ببینم گفتم خب باهم میریمبعد دعوامون شد گفتم هر وقت یاد گرفتی اول زنت بعد خانواده بعد حرف بزن
3a08441c9dadb38e6703b9a724528aab54c555d1a6d79977886a4f6ac8baa1e8,3,thread_15859444_starter,active_p2_calibrated,active_learning_round,2.6483752829590452,Low,"۲۵ ساله
ترم اخر دانشجو آزمایشگاه
دوتا خونه داره ماشین داره مغازه داره (خانواده دادن)
اهل کار کردن هست تابستونا تو کارخونه عموش حسابدار
ویلاشونو هم اجاره میده درامد داره که اینا مهم نیس
اخلاقش خوبه ادم نرمالیه رفتارای عجیب نداره کم خودم چون تو خانوادم ادم عصبی و بیمار زیاد تعجب میکنم از نظر روانی سالمه اهل دود و دم و مشروب نیس ظاهری خوبه
پدرش سرهنگ بازنشستست و جانباز (پدرشم بهیار بودن دوران خدمت)
تک فرزند
عموها نظامی
داییش شهردار
خودمم معلم رسمی هستم و ارشد ۲۴ سالمه
من پدر مادرم حدا شدن پدرم اعتیاد داره عموهامم همینطور
خواهر دوقلوم معلول
با خانواده پدری بزرگ شدیم
شغل نداره چیکارش کنم
شما قبول میکردین؟"
3a08441c9dadb38e6703b9a724528aab54c555d1a6d79977886a4f6ac8baa1e8,3,thread_15862315_starter,active_p2_calibrated,active_learning_round,3.425440131591025,Moderate,"۲۵ ساله
ترم اخر دانشجو آزمایشگاه
دوتا خونه داره ماشین داره مغازه داره (خانواده دادن)
اهل کار کردن هست تابستونا تو کارخونه عموش حسابدار
ویلاشونو هم اجاره میده درامد داره که اینا مهم نیس
اخلاقش خوبه ادم نرمالیه رفتارای عجیب نداره کم خودم چون تو خانوادم ادم عصبی و بیمار زیاد تعجب میکنم از نظر روانی سالمه اهل دود و دم و مشروب نیس ظاهری خوبه
پدرش سرهنگ بازنشستست و جانباز (پدرشم بهیار بودن دوران خدمت)
تک فرزند
عموها نظامی
داییش شهردار
خودمم معلم رسمی هستم و ارشد ۲۴ سالمه
من پدر مادرم حدا شدن پدرم اعتیاد داره عموهامم همینطور
خواهر دوقلوم معلول
با خانواده پدری بزرگ شدیم
شغل نداره چیکارش کنم
شما قبول میکردین؟"
3a08441c9dadb38e6703b9a724528aab54c555d1a6d79977886a4f6ac8baa1e8,3,thread_15866397_starter,active_p2_calibrated,active_learning_round,3.425440131591025,Moderate,"۲۵ ساله
ترم اخر دانشجو آزمایشگاه
دوتا خونه داره ماشین داره مغازه داره (خانواده دادن)
اهل کار کردن هست تابستونا تو کارخونه عموش حسابدار
ویلاشونو هم اجاره میده درامد داره که اینا مهم نیس
اخلاقش خوبه ادم نرمالیه رفتارای عجیب نداره کم خودم چون تو خانوادم ادم عصبی و بیمار زیاد تعجب میکنم از نظر روانی سالمه اهل دود و دم و مشروب نیس ظاهری خوبه
پدرش سرهنگ بازنشستست و جانباز (پدرشم بهیار بودن دوران خدمت)
تک فرزند
عموها نظامی
داییش شهردار
خودمم معلم رسمی هستم و ارشد ۲۴ سالمه
من پدر مادرم حدا شدن پدرم اعتیاد داره عموهامم همینطور
خواهر دوقلوم معلول
با خانواده پدری بزرگ شدیم
شغل نداره چیکارش کنم
شما قبول میکردین؟"
59914caeb538184ccdd23b4219005b27ef3d9d6d07305e888982b723250b4929,2,thread_15999387_starter,active_p2_calibrated,active_learning_round,4.2025049802230035,Moderate,"چند وقت بود که قرار بود برم مژه ریسه ای و پنس و چسب بگیرم وسایل مژه تو خونه خودم برای خودم کاشت هیدن انجام بدم بلدم چون
بعد امشب اومد یک یکربی گذشت
دیدم یک پلاستیک اورد داد بهم باز کردم دیدم یک عالمه مژه ریسه ای گرفته با چسبو پنس
بعد برداشت گفت بلندترین سایز مژه شو برداشتم نمیدونم چسباش این قیمتا داشت من گرونترینشو برداشتم
منم بهش گفتم چرا یک سوال نمیپرسی این مارکش بدرد نمیخوره بعد گف عه مگه مارک داره نمیدونستم  یادداشتاتو نگاه کردم دیدم ازینا نوشتی لازم داری منم گفتم سوپرایزت کنم
منم گفتم نمیخواد منو سوپرایز کنی وقتی ازین چیزا سر در نمیاری این همه مژه میخوام چیکار کنم بعد بهش برخورد گفت باشه حالا بگو چه مارکیه فردا برم عوضش کنم من عکسشو نشونش دادم
بعد باهام باد کرده فیس کرده واسه من😐😐😐😐😐"
59914caeb538184ccdd23b4219005b27ef3d9d6d07305e888982b723250b4929,2,thread_15999404_starter,active_p2_calibrated,active_learning_round,3.425440131591025,Moderate,"چند وقت بود که قرار بود برم مژه ریسه ای و پنس و چسب بگیرم وسایل مژه تو خونه خودم برای خودم کاشت هیدن انجام بدم بلدم چون
بعد امشب اومد یک یکربی گذشت
دیدم یک پلاستیک اورد داد بهم باز کردم دیدم یک عالمه مژه ریسه ای گرفته با چسبو پنس
بعد برداشت گفت بلندترین سایز مژه شو برداشتم نمیدونم چسباش این قیمتا داشت من گرونترینشو برداشتم
منم بهش گفتم چرا یک سوال نمیپرسی این مارکش بدرد نمیخوره بعد گف عه مگه مارک داره نمیدونستم یادداشتاتو نگاه کردم دیدم ازینا نوشتی لازم داری منم گفتم سوپرایزت کنم
منم گفتم نمیخواد منو سوپرایز کنی وقتی ازین چیزا سر در نمیاری این همه مژه میخوام چیکار کنم بعد بهش برخورد گفت باشه حالا بگو چه مارکیه فردا برم عوضش کنم من عکسشو نشونش دادم
بعد باهام باد کرده فیس کرده واسه من😐😐😐😐😐"
6c878f8bae1d98fe626d5cfb2ee91a37bf393b3fef2a6c9a933a5a58bee6b9f3,2,394805181,active_p2_calibrated,active_learning_round,3.425440131591025,Moderate,"ونم از دیشب هی پیام دوستت دارم
تا اخر عمر بمون کنارم
فقط مال خودمی...
هووو منم گفتم الان جاش نیست وسط دعوا احساسات قاطی نکن
چمیدونم میگه نرو بمون
نمیزارم جدا بشی میخوام باهات زندگی کنم"
6c878f8bae1d98fe626d5cfb2ee91a37bf393b3fef2a6c9a933a5a58bee6b9f3,2,394805238,active_p2_calibrated,active_learning_round,3.425440131591025,Moderate,"ونم از دیشب هی پیام دوستت دارم
تا اخر عمر بمون کنارم
فقط مال خودمی...
هووو منم گفتم الان جاش نیست وسط دعوا احساسات قاطی نکن
چمیدونم میگه نرو بمون
نمیزارم جدا بشی میخوام باهات زندگی کنم"
6ec25a39cac58dc82722bfc5ef9cf0a343edda2c79f7ad46bdd42b4534ad0769,2,thread_16237920_starter,active_p2_calibrated,active_learning_round,5.7566346774869634,High,بچه ها مگه اوایلش زیر شکم درد ایجاد میشه؟دقیقا مثل درد پریود؟😭😭وای فک کنم حاملم.ی بار تستم منفی شد.نکنه حاملم.۲ماه پریود نشدم ولی در کل پریودام نامیزون.زیر شکم درد شدیدی داشتم ی مدت.فک میکردم میخوام بشم.دیشب یکم خون دیدم گفتم شدم اما نشدم.واااای نگید ک اینا نشونه حاملگی تازه دل پیچه هم دارم😭😭خاک ب سرم شد
6ec25a39cac58dc82722bfc5ef9cf0a343edda2c79f7ad46bdd42b4534ad0769,2,thread_16237925_starter,active_p2_calibrated,active_learning_round,5.7566346774869634,High,بچه ها مگه اوایلش زیر شکم درد ایجاد میشه؟دقیقا مثل درد پریود؟😭😭وای فک کنم حاملم.ی بار تستم منفی شد.نکنه حاملم.۲ماه پریود نشدم ولی در کل پریودام نامیزون.زیر شکم درد شدیدی داشتم ی مدت.فک میکردم میخوام بشم.دیشب یکم خون دیدم گفتم شدم اما نشدم.واااای نگید ک اینا نشونه حاملگی تازه دل پیچه هم دارم😭😭خاک ب سرم شد
8761e1c9f87cd5ed785f707350e5519c9ec6fb0cfe932d4b857e77c88779377c,3,404055089,active_dual,active_learning_round,1.0,Low,دکترم عوض کردم
8761e1c9f87cd5ed785f707350e5519c9ec6fb0cfe932d4b857e77c88779377c,3,404055142,active_p2_calibrated,active_learning_round,1.0942455856950868,Low,دکترم عوض کردم
8761e1c9f87cd5ed785f707350e5519c9ec6fb0cfe932d4b857e77c88779377c,3,404055180,active_dual,active_learning_round,1.0,Low,دکترم عوض کردم
97ca6a2dfa4f68dfe28f4c719e1d03401731be3097706c8087a4e6b82f86838c,2,thread_16110869_starter,original_dual,original_round,7.370370370370369,Very High,"من یه هفته پیش کورتاژ کردم
از همون اول هیچ استراحتی نداشتم
مامانمم همراهم نبود تو بیمارستان یا بعدش
دو روز بعد شوهرم بخاطر اینکه خونه مرتب نیست باهام دعوا راه مینداخت‌
دیشب مهمون داشتم اینقدر کل دیروز کار کردم که شبش دیگه با زور مسکن یه مقدار درد کمرم آروم گرفت
امروز صبح بیدار شدم دیدم کل بدنم شکسته از درد
همه ظرفای آشپژخونه کثیف شده
کارای بچه و پوشک عوض کردنش و گاهی بلند کردنشم‌ با منه‌ در حالیکه بعد کورتاژ نباید چیز سنگین بلند کنم
صبح به شوهرم گفتم خیلی درد دارم اصلا توجهی نکرد فقط گفت لباسمو اتو کنی من میرم خونه بابام و برمی‌گردم
حالم داره از خودم و از همه بهم میخوره"
97ca6a2dfa4f68dfe28f4c719e1d03401731be3097706c8087a4e6b82f86838c,2,thread_16110875_starter,original_dual,original_round,7.74074074074074,Very High,"من یه هفته پیش کورتاژ کردم
از همون اول هیچ استراحتی نداشتم
مامانمم همراهم نبود تو بیمارستان یا بعدش
دو روز بعد شوهرم بخاطر اینکه خونه مرتب نیست باهام دعوا راه مینداخت‌
دیشب مهمون داشتم اینقدر کل دیروز کار کردم که شبش دیگه با زور مسکن یه مقدار درد کمرم آروم گرفت
امروز صبح بیدار شدم دیدم کل بدنم شکسته از درد
همه ظرفای آشپژخونه کثیف شده
کارای بچه و پوشک عوض کردنش و گاهی بلند کردنشم‌ با منه‌ در حالیکه بعد کورتاژ نباید چیز سنگین بلند کنم
صبح به شوهرم گفتم خیلی درد دارم اصلا توجهی نکرد فقط گفت لباسمو اتو کنی من میرم خونه بابام و برمی‌گردم
حالم داره از خودم و از همه بهم میخوره"
a9f8f16dcf934386c7a0f332d732f2e1a068bd5e0dc68c26a9f82aa52382cbce,2,thread_16607506_starter,active_dual,active_learning_round,4.0,Moderate,کاربری دیگمو میگم .اون شروع کرد و اون هم توهین کرد و من جواب دادم حالا چنان خودشو به قربت بازی زد اومدن منو تعلیق کردن😐😐😐😐
a9f8f16dcf934386c7a0f332d732f2e1a068bd5e0dc68c26a9f82aa52382cbce,2,thread_16607522_starter,active_dual,active_learning_round,4.0,Moderate,کاربری دیگمو میگم .اون شروع کرد و اون هم توهین کرد و من جواب دادم حالا چنان خودشو به قربت بازی زد اومدن منو تعلیق کردن😐😐😐😐
b9f6a9620f604017d8f0439b434753b739ad1cea0e7d1476cba8d411865337f0,2,thread_12728992_starter,active_p2_calibrated,active_learning_round,4.2025049802230035,Moderate,کسی بوده با nt 6.1 بچش سالم به دنیا اومده باشه ؟؟
b9f6a9620f604017d8f0439b434753b739ad1cea0e7d1476cba8d411865337f0,2,thread_12728995_starter,active_p2_calibrated,active_learning_round,4.2025049802230035,Moderate,کسی بوده با nt 6.1 بچش سالم به دنیا اومده باشه ؟؟
bbec3da466db5ae1f9398de15ac57ec4154fed58dc8aa6cd03a1c1f53d93f0c2,2,thread_14240538_starter,active_p2_calibrated,active_learning_round,6.533699526118942,High,بچه ها شوهرم خییییلی نفهمه یه سره با بچم درگیر تکون میخوره دعواش میکنه..حالا دیشب داشتیم از مهمونی برمیگشتیم بچم تو ماشین خوابش برد درضمن ۵ سالشه ودختر ه بعد رسیدیم این گفت بیدارش کن نمیتونم بغلش کنم چون پله داریم منم بیدارش کردم بچم گریه میکرد میگفت خوابم میاد بغلم کنید اینم تو اون وضع دست بچه رو گرفته به زور میگه بیا پرتت کنم بیرون شبونه! منم نذاشتم خودم بغل کردم آوردم بالا نمیدونم بچم ترسیده بود یا چی حالش خیلی بد بود میگفت مامان نمیتونم نفس بکشم گلوم درد میکنه بغض گلوشون گرفته بود یه ساعتی حالش بد بود من کلی آیت الکرسی خوندم و ماساژ دادم تا آروم شد.....نفهمیم داشت بچه رو میکشت
bbec3da466db5ae1f9398de15ac57ec4154fed58dc8aa6cd03a1c1f53d93f0c2,2,thread_14240547_starter,active_p2_calibrated,active_learning_round,7.310764374750923,Very High,بچه ها شوهرم خییییلی نفهمه یه سره با بچم درگیر تکون میخوره دعواش میکنه..حالا دیشب داشتیم از مهمونی برمیگشتیم بچم تو ماشین خوابش برد درضمن ۵ سالشه ودختر ه بعد رسیدیم این گفت بیدارش کن نمیتونم بغلش کنم چون پله داریم منم بیدارش کردم بچم گریه میکرد میگفت خوابم میاد بغلم کنید اینم تو اون وضع دست بچه رو گرفته به زور میگه بیا پرتت کنم بیرون شبونه! منم نذاشتم خودم بغل کردم آوردم بالا نمیدونم بچم ترسیده بود یا چی حالش خیلی بد بود میگفت مامان نمیتونم نفس بکشم گلوم درد میکنه بغض گلوشون گرفته بود یه ساعتی حالش بد بود من کلی آیت الکرسی خوندم و ماساژ دادم تا آروم شد.....نفهمیم داشت بچه رو میکشت
c8d418ef7ba52fd98463b43cac212468cd09084e68e6a8b99267376a0b37b304,2,thread_14568401_starter,active_dual,active_learning_round,4.37037037037037,Moderate,"من الان ۹ هفته هستم
تقریبا ۱۰ روزه گاهی لکه بینی و گاهی خونریزی دارم در حدی که باید حتما نوار بهداشتی بذارم
سونو گرافی هم رفتم دو بار تو این ۱۰ روز گفتن مشکلی نیست
با اینکه شیاف پروژسترون هم روزی ۲ بار میذارم چرا خونریزیم قطع نمیشه؟"
c8d418ef7ba52fd98463b43cac212468cd09084e68e6a8b99267376a0b37b304,2,thread_14574678_starter,active_p2_calibrated,active_learning_round,4.2025049802230035,Moderate,"من الان ۹ هفته هستم
تقریبا ۱۰ روزه گاهی لکه بینی و گاهی خونریزی دارم در حدی که باید حتما نوار بهداشتی بذارم
سونو گرافی هم رفتم دو بار تو این ۱۰ روز گفتن مشکلی نیست
با اینکه شیاف پروژسترون هم روزی ۲ بار میذارم چرا خونریزیم قطع نمیشه؟"
