unique_post_id,group_id,author,thread_id,content_hash,final_stress,clinical_class,label_source,label_round,label_confidence_tier,annotation_weight,class_weight,training_sample_weight,original_component_split,model_role,official_eval,moved_from_original_split,oof_fold,split_seed,dataset_hash,manifest_version,use_for_training,use_for_model_selection,use_for_final_test,exclude_from_modeling
246749152,G02552,سامیارکوچولو,9116406,e562293434c10588e331655e07b4ff5eb79d072967e29033e6cddfff41e60900,1.0,Low,original_dual,original_round,high,1.0,0.684177788873456,0.8553459671640382,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
246750589,G02552,قرصماه,9116406,ca6531024342fd3c29ce48002bf3d9579770ce1d4608a0cbed1408b9e4ff24c8,5.111111111111111,High,original_dual,original_round,high,1.0,1.198107656482396,1.4978512440282072,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
246952723,G02180,egekhanom,9126202,ece39bf6b02ec516bae241755c686e3680df72854dc7cc28bb585ba8c2afbe03,2.0,Low,original_dual,original_round,high,1.0,0.684177788873456,0.8553459671640382,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
249384092,G00002,عشق5,9242694,03d4e07dececb353b0b253d50a702fc87719ff019a9f9ca501ea0c80d1282e44,2.6296296296296293,Low,active_dual,active_learning_round,high,1.0,0.684177788873456,0.8553459671640382,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
251560308,G00004,fatemehfr,9345142,3cb587a86ee77f7daff6156c5e8f8732797486750027367209aab9bf3001f017,1.871310434327066,Low,active_p2_calibrated,active_learning_round,medium,0.65,0.684177788873456,0.5559748786566249,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
253412625,G00008,eliii74fatiiiii66,9435371,c558e75a4f2a65895149fa9e3d0b25b18620b3c414eae38f6864c92e6d9813fe,4.979569828854984,Moderate,active_p2_calibrated,active_learning_round,medium,0.65,1.0556758388791745,0.8578607139351856,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
254686209,G02223,suniw,9492091,,6.0,High,original_p1_high_selected,original_extra_person1_round,medium_high,0.9,1.198107656482396,1.3480661196253865,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
254933030,G02224,taninam,9502197,,3.0,Moderate,original_p1_high_selected,original_extra_person1_round,medium_high,0.9,1.0556758388791745,1.1878071423717955,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
255241351,G02556,آلبالوپلو,9515090,a77e5bf766e4e1941e688d4924705b7b3e2fa0d50d899a04cd7f1bbe5d12029e,5.0,High,original_dual,original_round,high,1.0,1.198107656482396,1.4978512440282072,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
256281249,G00015,shoroogh,9557765,d25a9738e1ef641ae09c9ca1a53202eb2f314574c5823a15fc78083a6b7ea5be,1.0,Low,original_dual,original_round,high,1.0,0.684177788873456,0.8553459671640382,train,train,False,False,0,20260804,f9b1810e611cf7b7c25ea3e15c4f4145a1df7b92435c2953b72e088a89f7e109,2,True,False,False,False
